T-PMT-T2;ChS1-T2;ChS1-T3;distance;pH;;;;;;
45135;12151;6927;162.19;8.05;;;;;;
45165;11947;7047;162.60;8.12;;;;;;
44914;11782;7223;163.02;8.21;;;;;;
44665;10136;6732;163.43;8.46;;;;;;
44415;10336;6275;163.85;8.19;;;;;;
40699;11562;8018;164.26;8.67;;;;;;
39384;9316;6658;164.67;8.89;;;;;;
43006;9254;6500;165.09;8.75;;;;;;
45125;10957;8055;165.50;9.28;;;;;;
44838;11600;6601;165.92;8.05;;;;;;
44713;12479;7676;166.33;8.22;;;;;;
44634;11515;6676;166.75;8.08;;;;;;
44673;10039;7155;167.16;8.87;;;;;;
44641;11424;8063;167.58;8.79;;;;;;
44651;10358;7126;167.99;8.62;;;;;;
44713;10281;6697;168.41;8.39;;;;;;
44719;11006;6645;168.82;8.17;;;;;;
44678;12123;6961;169.65;8.07;;;;;;
44678;12123;6961;170.07;8.07;;;;;;
44816;11042;5764;170.48;7.90;;;;;;
44792;10168;6346;170.90;8.26;;;;;;
44565;11046;7944;171.31;8.96;;;;;;
44651;12953;6107;171.73;7.76;;;;;;
44627;12646;6761;172.14;7.94;;;;;;
44514;10681;6897;172.56;8.36;;;;;;
44684;10729;7361;172.97;8.61;;;;;;
44677;9887;6614;173.39;8.49;;;;;;
44675;10714;6888;173.80;8.34;;;;;;
44690;10792;7796;174.22;9.01;;;;;;
44548;11208;6429;175.04;8.06;;;;;;
44528;10797;7944;175.87;9.30;;;;;;
44514;10682;6711;176.29;8.28;;;;;;
44591;11140;7026;176.70;8.29;;;;;;
44551;11218;6517;177.12;8.09;;;;;;
44511;11708;5990;177.53;7.87;;;;;;
